Congresista,Región,Votación,Grupo,Comisiones,Bancada,Representatividad
Bazán Calderón Diego Alonso Fernando,La Libertad,22200,Renovación Popular,"[['Comercio Exterior y Turismo', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.01248537748582741
Bazán Narro Sigrid Tesoro,Lima,44359,Juntos por el Perú,"[['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'T']]",JUNTOS POR EL PERÚ,0.004676553083394963
Bellido Ugarte Guido,Cusco,20164,Partido Politico Nacional Perú Libre,"[['Comercio Exterior y Turismo', 'T'], ['Constitución y Reglamento', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Presupuesto y Cuenta General de la República', 'A']]",PERÚ LIBRE,0.016726294807167322
Bermejo Rojas Guillermo,Lima,8254,Partido Politico Nacional Perú Libre,[],PERÚ DEMOCRÁTICO,0.0008701789749620602
Burgos Oliveros Juan Bartolomé,La Libertad,10060,Avanza País - Partido de Integración Social,"[['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'V']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0056577881760100784
Bustamante Donayre Ernesto,Lima,24075,Fuerza Popular,"[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'P'], ['Salud y Población', 'A']]",FUERZA POPULAR,0.0025381098645761565
Calle Lobatón Digna,Lima,54282,Podemos Perú,"[['Presupuesto y Cuenta General de la República', 'T'], ['Vivienda y Construcción', 'T']]",PODEMOS PERÚ,0.005722686590609468
Camones Soriano Lady Mercedes,Áncash,6203,Alianza para el Progreso del Perú,"[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Energía y Minas', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Salud y Población', 'A']]",ALIANZA PARA EL PROGRESO,0.005724865000059989
Castillo Rivas Eduardo Enrique,Piura,10901,Fuerza Popular,"[['Agraria', 'T'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR,0.00587082462439594
Cavero Alva Alejandro Enrique,Lima,30242,Avanza País - Partido de Integración Social,"[['Agraria', 'A'], ['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Relaciones Exteriores', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0031882666053795277
Cerrón Rojas Waldemar José,Junín,25281,Partido Politico Nacional Perú Libre,"[['Constitución y Reglamento', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Justicia y Derechos Humanos', 'T']]",PERÚ LIBRE,0.020289108357851044
Chacón Trujillo Nilza Merly,Áncash,3950,Fuerza Popular,"[['Agraria', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Salud y Población', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR,0.0036455290585582717
Chávez Chino Betssy Betzabet,Tacna,8472,Partido Politico Nacional Perú Libre,"[['Mujer y Familia', 'A']]",PERÚ DEMOCRÁTICO,0.025724800505265204
Chiabra León Roberto Enrique,Lima,19222,Alianza para el Progreso,"[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Inteligencia', 'T']]",ALIANZA PARA EL PROGRESO,0.002026481736942176
Chirinos Venegas Patricia Rosa,Callao,9033,Avanza País - Partido de Integración Social,"[['Presupuesto y Cuenta General de la República', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.00908301105889025
Ciccia Vásquez Miguel Angel,Piura,9269,Renovación Popular,"[['Agraria', 'T'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'A']]",RENOVACIÓN POPULAR,0.004991897389553799
Coayla Juárez Jorge Samuel,Moquegua,4846,Partido Politico Nacional Perú Libre,"[['Agraria', 'T'], ['Energía y Minas', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'S'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE,0.02771312398849385
Cordero Jon Tay Luis Gustavo,Lima Provincias,4531,Fuerza Popular,"[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inteligencia', 'S'], ['Presupuesto y Cuenta General de la República', 'A'], ['Relaciones Exteriores', 'A']]",FUERZA POPULAR,0.007620082305634084
Cordero Jon Tay María del Pilar,Tumbes,2194,Fuerza Popular,"[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'T'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR,0.009757052071705883
Córdova Lobatón María Jessica,Lambayeque,12552,Renovación Popular,"[['Agraria', 'T'], ['Ciencia, Innovación y Tecnología', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Mujer y Familia', 'S'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.01048393832584401
Cortez Aguirre Isabel,Lima,34888,Juntos por el Perú,"[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Fiscalización y Contraloría', 'A'], ['Trabajo y Seguridad Social', 'P']]",JUNTOS POR EL PERÚ,0.0036780717323087416
Cruz Mamani Flavio,Puno,30025,Partido Politico Nacional Perú Libre,"[['Ciencia, Innovación y Tecnología', 'P'], ['Cultura y Patrimonio Cultural', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE,0.025603374102602803
Cueto Aservi José Ernesto,Lima,36769,Renovación Popular,"[['Ciencia, Innovación y Tecnología', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Inteligencia', 'P'], ['Presupuesto y Cuenta General de la República', 'A'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A']]",RENOVACIÓN POPULAR,0.0038763763908868415
Cutipa Ccama Víctor Raúl,Moquegua,3821,Partido Politico Nacional Perú Libre,"[['Constitución y Reglamento', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Fiscalización y Contraloría', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Transportes y Comunicaciones', 'A']]",PERÚ LIBRE,0.021851392232776518
Dávila Atanacio Pasión Neomias,Pasco,3915,Partido Politico Nacional Perú Libre,"[['Ciencia, Innovación y Tecnología', 'A'], ['Constitución y Reglamento', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'S'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE,0.015409442465510794
Díaz Monago Freddy Ronald,Pasco,4195,Alianza para el Progreso,"[['Agraria', 'S'], ['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'T']]",ALIANZA PARA EL PROGRESO,0.016511522641843624
Doroteo Carbajo Raúl Felipe,Ica,8482,Acción Popular,"[['Agraria', 'V'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inteligencia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR,0.009969850663814332
Echaíz de Núñez Izaga Gladys Margot,Lima,21627,Alianza para el Progreso,"[['Constitución y Reglamento', 'V'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'P']]",ALIANZA PARA EL PROGRESO,0.0022800291605893476
Echeverría Rodríguez Hamlet,Cajamarca,3647,Partido Politico Nacional Perú Libre,[],PERÚ DEMOCRÁTICO,0.0027195878933223565
Elera García Wilmar Alberto,Piura,11483,Partido Democrático Somos Perú,"[['Constitución y Reglamento', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Fiscalización y Contraloría', 'T'], ['Transportes y Comunicaciones', 'V'], ['Vivienda y Construcción', 'T']]",SOMOS PERÚ,0.006184265586821261
Elías Ávalos José Luis,Ica,10708,Podemos Perú,"[['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Educación, Juventud y Deporte', 'T']]",PODEMOS PERÚ,0.012586319371389279
Espinoza Vargas Jhaec Darwin,Áncash,6505,Acción Popular,"[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'P']]",ACCION POPULAR,0.006003586462258622
Flores Ancachi Jorge Luis,Puno,23539,Acción Popular,"[['Agraria', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Energía y Minas', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR,0.02007253365532614
Flores Ramírez Alex Randu,Ayacucho,21993,Partido Politico Nacional Perú Libre,"[['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'P'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Mujer y Familia', 'T'], ['Relaciones Exteriores', 'T']]",PERÚ LIBRE,0.03569272415673444
Flores Ruíz Víctor Seferino,La Libertad,12256,Fuerza Popular,"[['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'V'], ['Relaciones Exteriores', 'A'], ['Vivienda y Construcción', 'S']]",FUERZA POPULAR,0.006892828219202735
García Correa Idelso Manuel,Piura,14205,Alianza para el Progreso,"[['Agraria', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'A']]",ALIANZA PARA EL PROGRESO,0.007650221428267528
Gonza Castillo Americo,Cajamarca,10394,Partido Politico Nacional Perú Libre,"[['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'S'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Inteligencia', 'V'], ['Justicia y Derechos Humanos', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'A']]",PERÚ LIBRE,0.007750862781242823
Gonzales Delgado Diana Carolina,Arequipa,24948,Avanza País - Partido de Integración Social,"[['Comercio Exterior y Turismo', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'V'], ['Inclusión Social y Personas con Discapacidad', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.018042567963376797
Guerra García Campos Hernando,Lima,55987,Fuerza Popular,"[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR,0.005902436427332307
Gutiérrez Ticona Paul Silvio,Apurímac,11124,Partido Politico Nacional Perú Libre,"[['Agraria', 'T'], ['Comercio Exterior y Turismo', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Mujer y Familia', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE,0.027415288385470193
Herrera Medina Noelia Rossvith,Callao,8619,Renovación Popular,"[['Comercio Exterior y Turismo', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Mujer y Familia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'A'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'T']]",RENOVACIÓN POPULAR,0.008666718954563828
Huamán Coronado Raúl,Ica,9588,Fuerza Popular,"[['Comercio Exterior y Turismo', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'A']]",FUERZA POPULAR,0.011269857128584275
Infantes Castañeda Mery Eliana,Amazonas,2575,Fuerza Popular,"[['Agraria', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Mujer y Familia', 'A'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A']]",FUERZA POPULAR,0.006787318389810852
Jáuregui Martínez de Aguayo María de los Milagros Jackeline,Lima,68003,Renovación Popular,"[['Constitución y Reglamento', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Inclusión Social y Personas con Discapacidad', 'S'], ['Justicia y Derechos Humanos', 'A'], ['Mujer y Familia', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T']]",RENOVACIÓN POPULAR,0.007169224719450566
Jeri Oré José Enrique,Lima,11654,Partido Democrático Somos Perú,"[['Agraria', 'T'], ['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'T'], ['Justicia y Derechos Humanos', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A']]",SOMOS PERÚ,0.0012286243971659618
Jiménez Heredia David Julio,Junín,7278,Fuerza Popular,"[['Ciencia, Innovación y Tecnología', 'T'], ['Constitución y Reglamento', 'A'], ['Transportes y Comunicaciones', 'T']]",FUERZA POPULAR,0.0058409133589826315
Juárez Calle Heidy Lisbeth,Piura,19153,Alianza para el Progreso del Perú,"[['Constitución y Reglamento', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'T']]",ALIANZA PARA EL PROGRESO,0.010315008167237448
Juárez Gallegos Carmen Patricia,Lima,40125,Fuerza Popular,"[['Constitución y Reglamento', 'P'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Fiscalización y Contraloría', 'A']]",FUERZA POPULAR,0.0042301831076269275
Julon Irigoin Elva Edhit,Cajamarca,9080,Alianza para el Progreso del Perú,"[['Agraria', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Salud y Población', 'V']]",ALIANZA PARA EL PROGRESO,0.0067710057777260755
