Congresista,Región,Votación,Grupo,Comisiones,Bancada,Representatividad
Kamiche Morante Luis Roberto,La Libertad,6035,Partido Politico Nacional Perú Libre,[],PERÚ DEMOCRÁTICO,0.0033941105012147933
Limachi Quispe Nieves Esmeralda,Tacna,3125,Partido Politico Nacional Perú Libre,[],PERÚ DEMOCRÁTICO,0.00948890481337981
Lizarzaburu Lizarzaburu Juan Carlos Martin,PEX,1773,Fuerza Popular,"[['Comercio Exterior y Turismo', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Relaciones Exteriores', 'T']]",FUERZA POPULAR,0.0038721005654184073
López Morales Jeny Luz,Ucayali,4576,Fuerza Popular,"[['Agraria', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'V'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'A'], ['Mujer y Familia', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'A']]",FUERZA POPULAR,0.009217276753971626
López Ureña Ilich Fredy,Junín,17727,Acción Popular,"[['Agraria', 'T'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'S'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR,0.014226692925897927
Luna Gálvez José León,Lima,91055,Podemos Perú,"[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'P'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Presupuesto y Cuenta General de la República', 'A']]",PODEMOS PERÚ,0.00959948468199302
Luque Ibarra Ruth,Cusco,12049,Juntos por el Perú,"[['Constitución y Reglamento', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Energía y Minas', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'V'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A']]",JUNTOS POR EL PERÚ,0.009994798955145759
Málaga Trillo George Edward,Lima,67044,Partido Morado,"[['Ciencia, Innovación y Tecnología', 'S']]",NO AGRUPADO,0.00706812202536423
Marticorena Mendoza Jorge Alfonso,Ica,6597,Partido Politico Nacional Perú Libre,"[['Ciencia, Innovación y Tecnología', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'T']]",PERÚ LIBRE,0.007754197692664837
Martínez Talavera Pedro Edwin,Arequipa,16372,Acción Popular,"[['Comercio Exterior y Turismo', 'V'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Mujer y Familia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR,0.01184034482509239
Medina Hermosilla Elizabeth Sara,Huánuco,11300,Partido Politico Nacional Perú Libre,"[['Fiscalización y Contraloría', 'A'], ['Mujer y Familia', 'P'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T']]",PERÚ LIBRE,0.015671655245774546
Medina Minaya Esdras Ricardo,Arequipa,15693,Renovación Popular,"[['Agraria', 'A'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'P'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",RENOVACIÓN POPULAR,0.011349287279512269
Montalvo Cubas Segundo Toribio,Amazonas,5268,Partido Politico Nacional Perú Libre,"[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'V'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Transportes y Comunicaciones', 'T']]",PERÚ LIBRE,0.01388566729224216
Monteza Facho Silvia María,Cajamarca,7171,Acción Popular,"[['Agraria', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'P'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR,0.005347454012342917
Montoya Manrique Jorge Carlos,Lima,138231,Renovación Popular,"[['Ciencia, Innovación y Tecnología', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'S'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T']]",RENOVACIÓN POPULAR,0.014573020340196334
Morante Figari Jorge Alberto,Loreto,5548,Fuerza Popular,"[['Agraria', 'A'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'A']]",FUERZA POPULAR,0.006279498817217688
Mori Celis Juan Carlos,Loreto,8815,Acción Popular,"[['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR,0.009977249833052258
Moyano Delgado Martha Lupe,Lima,23260,Fuerza Popular,"[['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Fiscalización y Contraloría', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Vivienda y Construcción', 'T']]",FUERZA POPULAR,0.002452188388371398
Muñante Barrios Alejandro,Lima,21014,Renovación Popular,"[['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Salud y Población', 'T']]",RENOVACIÓN POPULAR,0.0022154035594684676
Obando Morgan Auristela Ana,Callao,8914,Fuerza Popular,"[['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'V'], ['Transportes y Comunicaciones', 'T']]",FUERZA POPULAR,0.0089633522173085
Olivos Martínez Vivian,Lima Provincias,7785,Fuerza Popular,"[['Agraria', 'P'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Transportes y Comunicaciones', 'T']]",FUERZA POPULAR,0.013092549271543004
Pablo Medina Flor Aidee,Lima,53899,Partido Morado,[],NO AGRUPADO,0.0056823087680494405
Padilla Romero Javier Rommel,Lima Provincias,6835,Renovación Popular,"[['Cultura y Patrimonio Cultural', 'V'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A']]",RENOVACIÓN POPULAR,0.01149487145420635
Palacios Huamán Margot,Ayacucho,11781,Partido Politico Nacional Perú Libre,"[['Agraria', 'T'], ['Constitución y Reglamento', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'P']]",PERÚ LIBRE,0.01911953727506427
Paredes Castro Francis Jhasmina,Ucayali,3454,Partido Politico Nacional Perú Libre,"[['Agraria', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'T']]",PERÚ LIBRE,0.006957271396026661
Paredes Fonseca Karol Ivett,San Martín,4995,Acción Popular,"[['Agraria', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'S'], ['Presupuesto y Cuenta General de la República', 'A'], ['Relaciones Exteriores', 'T'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR,0.006141033537788564
Paredes Gonzales Alex Antonio,Arequipa,18673,Partido Politico Nacional Perú Libre,"[['Constitución y Reglamento', 'A'], ['Educación, Juventud y Deporte', 'V'], ['Justicia y Derechos Humanos', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Trabajo y Seguridad Social', 'A']]",PERÚ LIBRE,0.013504444106947849
Paredes Piqué Susel Ana María,Lima,76785,Partido Morado,"[['Cultura y Patrimonio Cultural', 'T'], ['Transportes y Comunicaciones', 'T']]",NO AGRUPADO,0.00809506815997841
Pariona Sinche Alfredo,Huancavelica,9849,Partido Politico Nacional Perú Libre,"[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'V'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Transportes y Comunicaciones', 'T']]",PERÚ LIBRE,0.028331113597726377
Picón Quedo Luis Raúl,Huánuco,10812,Alianza para el Progreso,"[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'T'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'T'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'T'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ALIANZA PARA EL PROGRESO,0.01499486163870039
Portalatino Ávalos Kelly Roxana,Áncash,8286,Partido Politico Nacional Perú Libre,"[['Inclusión Social y Personas con Discapacidad', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Salud y Población', 'S']]",PERÚ LIBRE,0.007647304754231352
Portero López Hilda Marleny,Lambayeque,8568,Acción Popular,"[['Agraria', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Inclusión Social y Personas con Discapacidad', 'V'], ['Mujer y Familia', 'T'], ['Relaciones Exteriores', 'A']]",ACCION POPULAR,0.007156340310375357
Quiroz Barboza Segundo Teodomiro,Cajamarca,16660,Partido Politico Nacional Perú Libre,"[['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'T'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE,0.012423453332259518
Quispe Mamani Wilson Rusbel,Puno,28343,Partido Politico Nacional Perú Libre,"[['Cultura y Patrimonio Cultural', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Presupuesto y Cuenta General de la República', 'V'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE,0.02416907351174259
Quito Sarmiento Bernardo Jaime,Arequipa,41430,Partido Politico Nacional Perú Libre,"[['Constitución y Reglamento', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'P'], ['Trabajo y Seguridad Social', 'T']]",PERÚ LIBRE,0.029962465557267146
Ramírez García Tania Estefany,Cajamarca,3240,Fuerza Popular,"[['Agraria', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Trabajo y Seguridad Social', 'T']]",FUERZA POPULAR,0.0024160857620960886
Revilla Villanueva César Manuel,Piura,6420,Fuerza Popular,"[['Agraria', 'A'], ['Comercio Exterior y Turismo', 'T'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A']]",FUERZA POPULAR,0.003457544637062832
Reyes Cam Abel Augusto,Huánuco,7133,Partido Politico Nacional Perú Libre,"[['Ciencia, Innovación y Tecnología', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Inclusión Social y Personas con Discapacidad', 'P']]",PERÚ LIBRE,0.009892559014876977
Reymundo Mercado Edgard Cornelio,Junín,7912,Juntos por el Perú,"[['Constitución y Reglamento', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Fiscalización y Contraloría', 'S'], ['Presupuesto y Cuenta General de la República', 'T']]",JUNTOS POR EL PERÚ,0.006349726091820634
Rivas Chacara Janet Milagros,Lima Provincias,4455,Partido Politico Nacional Perú Libre,"[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Inteligencia', 'T'], ['Mujer y Familia', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'S'], ['Relaciones Exteriores', 'T']]",PERÚ LIBRE,0.0074922680802471525
Robles Araujo Silvana Emperatriz,Junín,11893,Partido Politico Nacional Perú Libre,"[['Cultura y Patrimonio Cultural', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Relaciones Exteriores', 'T'], ['Salud y Población', 'T']]",PERÚ LIBRE,0.009544652731297119
Ruíz Rodríguez Magaly Rosmery,La Libertad,16689,Alianza para el Progreso,"[['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Fiscalización y Contraloría', 'T'], ['Mujer y Familia', 'T']]",ALIANZA PARA EL PROGRESO,0.009385966885629444
Saavedra Casternoque Hitler,Loreto,7654,Partido Democrático Somos Perú,"[['Ciencia, Innovación y Tecnología', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Salud y Población', 'P'], ['Vivienda y Construcción', 'A']]",SOMOS PERÚ,0.008663173025772204
Salhuana Cavides Eduardo,Madre de Dios,3013,Alianza para el Progreso,"[['Constitución y Reglamento', 'T'], ['Energía y Minas', 'S'], ['Transportes y Comunicaciones', 'A']]",ALIANZA PARA EL PROGRESO,0.021358190969022472
Sánchez Palomino Roberto Helbert,Lima,29825,Juntos por el Perú,"[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T']]",JUNTOS POR EL PERÚ,0.003144304328597461
Soto Palacios Wilson,Huancavelica,7145,Acción Popular,"[['Agraria', 'A'], ['Constitución y Reglamento', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR,0.02055292990717382
Soto Reyes Alejandro,Cusco,29073,Alianza para el Progreso,"[['Fiscalización y Contraloría', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'P']]",ALIANZA PARA EL PROGRESO,0.024116423771512376
Tacuri Valdivia Germán Adolfo,Ayacucho,11547,Partido Politico Nacional Perú Libre,"[['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'P'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T']]",PERÚ LIBRE,0.01873977564851601
Taipe Coronado María Elizabeth,Apurímac,8643,Partido Politico Nacional Perú Libre,"[['Agraria', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'A']]",PERÚ LIBRE,0.021300821423554377
Tello Montes Nivardo Edgar,Lima,5133,Partido Politico Nacional Perú Libre,"[['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE,0.0005411471624037139
Torres Salinas Rosio,Loreto,5179,Alianza para el Progreso,"[['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'S'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T']]",ALIANZA PARA EL PROGRESO,0.005861846498624803
Trigozo Reátegui Cheryl,San Martín,16574,Alianza para el Progreso,"[['Comercio Exterior y Turismo', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Transportes y Comunicaciones', 'T']]",ALIANZA PARA EL PROGRESO,0.02037667464570724
Tudela Gutiérrez Adriana Josefina,Lima,47139,Avanza País - Partido de Integración Social,"[['Constitución y Reglamento', 'S'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.004969634928608742
Ugarte Mamani Jhakeline Katy,Cusco,12700,Partido Politico Nacional Perú Libre,"[['Comercio Exterior y Turismo', 'T'], ['Cultura y Patrimonio Cultural', 'S'], ['Mujer y Familia', 'T']]",PERÚ LIBRE,0.010534811746232145
Valer Pinto Héctor,Lima,20948,Renovación Popular,[],PERÚ DEMOCRÁTICO,0.002208445501272745
Varas Meléndez Elías Marcial,Áncash,6328,Partido Politico Nacional Perú Libre,"[['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE,0.005840229843685252
Vásquez Vela Lucinda,San Martín,8778,Partido Politico Nacional Perú Libre,"[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Fiscalización y Contraloría', 'T']]",PERÚ LIBRE,0.010791990469411015
Ventura Angel Héctor José,Tumbes,3361,Fuerza Popular,"[['Agraria', 'T'], ['Constitución y Reglamento', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'P'], ['Justicia y Derechos Humanos', 'S'], ['Presupuesto y Cuenta General de la República', 'A']]",FUERZA POPULAR,0.014946878766182075
Vergara Mendoza Elvis Hernán,Ucayali,4486,Acción Popular,"[['Agraria', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Fiscalización y Contraloría', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A']]",ACCION POPULAR,0.009035992901730051
Williams Zapata José Daniel,Lima,44789,Avanza País - Partido de Integración Social,"[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'P'], ['Educación, Juventud y Deporte', 'A'], ['Inteligencia', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Vivienda y Construcción', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.004721885886791339
Wong Pujada Enrique,Callao,11384,Podemos Perú,"[['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'V']]",PODEMOS PERÚ,0.011447027332492705
Yarrow Lumbreras Norma Martina,Lima,51103,Renovación Popular,"[['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'P'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Salud y Población', 'A'], ['Transportes y Comunicaciones', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.00538754012084882
Zea Choquechambi Oscar,Puno,34450,Partido Politico Nacional Perú Libre,"[['Agraria', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Presupuesto y Cuenta General de la República', 'A']]",PERÚ LIBRE,0.029376727321720787
Zeballos Aponte Jorge Arturo,PEX,4691,Renovación Popular,"[['Comercio Exterior y Turismo', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Relaciones Exteriores', 'V']]",RENOVACIÓN POPULAR,0.010244796250636068
Zeballos Madariaga Carlos Javier,Puno,23883,Acción Popular,"[['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T']]",PERÚ DEMOCRÁTICO,0.020365874560947968
Zeta Chunga Cruz María,Piura,10079,Fuerza Popular,"[['Agraria', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'A'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR,0.0054281296568467734
