Congresista,Región,Votación,Comisiones,Bancada
Bazán Narro Sigrid Tesoro,Lima,"44,359","[['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'T']]",JUNTOS POR EL PERÚ
Bellido Ugarte Guido,Cusco,"20,164","[['Comercio Exterior y Turismo', 'T'], ['Constitución y Reglamento', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Presupuesto y Cuenta General de la República', 'A']]",PERÚ LIBRE
Bermejo Rojas Guillermo,Lima,"8,254",[],PERÚ DEMOCRÁTICO
Burgos Oliveros Juan Bartolomé,La Libertad,"10,060","[['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'V']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Bustamante Donayre Ernesto,Lima,"24,075","[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'P'], ['Salud y Población', 'A']]",FUERZA POPULAR
Calle Lobatón Digna,Lima,"54,282","[['Presupuesto y Cuenta General de la República', 'T'], ['Vivienda y Construcción', 'T']]",PODEMOS PERÚ
Camones Soriano Lady Mercedes,Ancash,"6,203","[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Energía y Minas', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Salud y Población', 'A']]",ALIANZA PARA EL PROGRESO
Castillo Rivas Eduardo Enrique,Piura,"10,901","[['Agraria', 'T'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR
Cavero Alva Alejandro Enrique,Lima,"30,242","[['Agraria', 'A'], ['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Relaciones Exteriores', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Cerrón Rojas Waldemar José,Junín,"25,281","[['Constitución y Reglamento', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Justicia y Derechos Humanos', 'T']]",PERÚ LIBRE
Chacón Trujillo Nilza Merly,Ancash,"3,950","[['Agraria', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Salud y Población', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR
Chávez Chino Betssy Betzabet,Tacna,"8,472","[['Mujer y Familia', 'A']]",PERÚ DEMOCRÁTICO
Chiabra León Roberto Enrique,Lima,"19,222","[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Inteligencia', 'T']]",ALIANZA PARA EL PROGRESO
Chirinos Venegas Patricia Rosa,Callao,"9,033","[['Presupuesto y Cuenta General de la República', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
